team,fifa_rank,total_fifa_points,home_team_score,team_result,goalkeeper_score,mean_defense_score,mean_offense_score,mean_midfield_score
France,7,0,2,-1,86.86808510638298,84.08127659574467,85.7,86.15872340425533
Germany,5,0,5,1,89.05371900826447,84.6888429752066,83.60206611570247,85.79669421487601
Republic of Ireland,9,0,1,-1,79.02127659574468,76.68351063829788,75.6590425531915,77.32606382978723
Italy,2,0,3,1,88.22608695652174,85.02999999999999,85.26304347826088,84.19304347826088
Netherlands,13,0,2,1,83.23287671232876,80.73470319634704,85.47853881278539,83.70913242009134
Poland,22,0,0,-1,82.10502283105023,75.83470319634704,79.27488584474885,76.73013698630137
Portugal,21,0,1,1,81.80973451327434,82.89159292035399,84.93362831858407,83.59026548672567
Romania,20,0,2,1,75.96756756756757,75.95729729729729,75.50162162162162,74.86054054054054
Sweden,11,0,3,1,76.50431034482759,77.11206896551724,81.57327586206897,77.84181034482756
USA,26,0,1,0,81.07829181494662,75.00427046263346,76.0338078291815,77.09928825622777
Wales,29,0,2,1,73.81656804733728,74.66568047337279,74.3414201183432,78.3526627218935
Korea DPR,64,0,3,1,,,67.96666666666667,
Saudi Arabia,44,0,0,0,70.91803278688525,71.3360655737705,70.51967213114754,73.08524590163934
IR Iran,58,0,0,-1,68.36065573770492,68.97241379310346,70.98275862068965,69.9951219512195
USA,26,0,1,-1,81.07829181494662,75.00427046263346,76.0338078291815,77.09928825622777
Tunisia,34,0,3,1,64.3781512605042,72.22488479262672,71.39493087557602,72.77281105990784
Japan,43,0,1,-1,70.38150289017341,72.69239130434782,72.84112903225807,76.91156716417912
Korea DPR,64,0,1,-1,,,67.96666666666667,
Iraq,59,0,2,0,52.407407407407405,66.5,64.0,66.30149253731344
Mexico,16,0,2,1,79.18849840255591,76.98466453674123,79.17284345047923,77.7884984025559
Korea DPR,64,0,0,-1,,,67.96666666666667,
IR Iran,59,0,1,-1,68.36065573770492,68.97241379310346,70.98275862068965,69.9951219512195
Korea Republic,37,0,1,0,73.84824902723736,72.6466926070039,75.08949416342413,75.06031128404669
USA,26,0,0,-1,81.07829181494662,75.00427046263346,76.0338078291815,77.09928825622777
Burundi,98,0,0,-1,,,,63.839999999999996
Iraq,64,0,1,0,52.407407407407405,66.5,64.0,66.30149253731344
IR Iran,59,0,2,1,68.36065573770492,68.97241379310346,70.98275862068965,69.9951219512195
Japan,44,0,1,1,70.38150289017341,72.69239130434782,72.84112903225807,76.91156716417912
Liechtenstein,157,0,0,-1,65.43023255813954,,,
United Arab Emirates,55,0,2,1,70.53125,64.51875,64.3,67.26875000000001
Hungary,49,0,1,1,76.21311475409836,70.81420765027322,72.82568306010928,73.43551912568306
Israel,66,0,1,0,71.11811023622047,66.27272727272727,73.78264462809916,72.91666666666667
Turkey,67,0,2,1,79.36893203883496,76.83592233009709,77.7864077669903,79.56747572815534
Iraq,64,0,2,0,52.407407407407405,66.5,64.0,66.30149253731344
Korea Republic,37,0,3,1,73.84824902723736,72.6466926070039,75.08949416342413,75.06031128404669
Saudi Arabia,46,0,4,1,70.91803278688525,71.3360655737705,70.51967213114754,73.08524590163934
United Arab Emirates,55,0,0,-1,70.53125,64.51875,64.3,67.26875000000001
Australia,61,0,1,0,78.35960591133005,72.60344827586206,74.43054187192119,74.16798029556651
Mexico,18,0,3,1,79.18849840255591,76.98466453674123,79.17284345047923,77.7884984025559
Egypt,27,0,3,1,70.4225352112676,70.40754716981132,73.82373737373737,72.78489208633096
Tunisia,35,0,4,1,64.3781512605042,72.22488479262672,71.39493087557602,72.77281105990784
Gabon,54,0,1,-1,67.17,67.74750000000002,71.58157894736841,73.10985915492958
Tunisia,35,0,2,1,64.3781512605042,72.22488479262672,71.39493087557602,72.77281105990784
USA,26,0,1,1,81.07829181494662,75.00427046263346,76.0338078291815,77.09928825622777
Austria,34,0,1,0,75.57303370786516,76.67640449438203,75.07078651685393,76.9258426966292
Israel,66,0,1,-1,71.11811023622047,66.27272727272727,73.78264462809916,72.91666666666667
Portugal,20,0,3,1,81.80973451327434,82.89159292035399,84.93362831858407,83.59026548672567
Turkey,67,0,2,1,79.36893203883496,76.83592233009709,77.7864077669903,79.56747572815534
USA,26,0,8,1,81.07829181494662,75.00427046263346,76.0338078291815,77.09928825622777
Argentina,9,0,1,1,80.69396551724138,82.98189655172415,88.26034482758621,84.42801724137932
France,14,0,1,-1,86.86808510638298,84.08127659574467,85.7,86.15872340425533
Germany,4,0,2,1,89.05371900826447,84.6888429752066,83.60206611570247,85.79669421487601
Greece,36,0,1,1,79.5979381443299,78.5922680412371,76.6721649484536,77.3283505154639
Italy,3,0,1,1,88.22608695652174,85.02999999999999,85.26304347826088,84.19304347826088
Malta,84,0,0,-1,64.0,,60.3,
Northern Ireland,42,0,1,0,72.47239263803681,73.23006134969326,68.95828220858895,72.8355828220859
Poland,23,0,1,-1,82.10502283105023,75.83470319634704,79.27488584474885,76.73013698630137
San Marino,122,0,1,-1,52.61538461538461,,,
Spain,7,0,1,1,88.78481012658227,85.50928270042195,85.8746835443038,87.1278481012658
Switzerland,13,0,4,1,80.17948717948718,78.14717948717949,76.52717948717948,78.71846153846155
Wales,28,0,1,-1,73.81656804733728,74.66568047337279,74.3414201183432,78.3526627218935
Gambia,153,0,2,-1,66.25806451612904,66.29833333333333,66.07848101265823,65.60645161290323
Gambia,153,0,3,1,66.25806451612904,66.29833333333333,66.07848101265823,65.60645161290323
Sierra Leone,84,0,1,0,,63.2,67.70882352941176,62.71515151515151
Guinea-Bissau,132,0,1,1,58.0,66.13529411764705,70.44727272727273,70.60454545454546
Senegal,63,0,0,-1,72.35828877005348,77.5144385026738,79.81818181818181,76.35026737967914
Guinea,62,0,1,-1,60.42528735632184,68.6461038961039,72.13192771084339,71.85597484276728
Sierra Leone,84,0,2,-1,,63.2,67.70882352941176,62.71515151515151
Mali,75,0,3,1,65.48226950354609,72.70760233918129,74.66374269005848,75.94619883040936
Senegal,63,0,4,1,72.35828877005348,77.5144385026738,79.81818181818181,76.35026737967914
Ghana,41,0,1,1,68.21134020618557,73.4908256880734,74.53807339449541,78.92660550458716
Sierra Leone,84,0,1,0,,63.2,67.70882352941176,62.71515151515151
Tahiti,138,0,3,1,,,,
Kenya,72,0,2,1,63.4264705882353,,61.7,68.86875
Mali,75,0,0,0,65.48226950354609,72.70760233918129,74.66374269005848,75.94619883040936
Senegal,63,0,0,0,72.35828877005348,77.5144385026738,79.81818181818181,76.35026737967914
Gambia,153,0,0,-1,66.25806451612904,66.29833333333333,66.07848101265823,65.60645161290323
Sierra Leone,84,0,2,1,,63.2,67.70882352941176,62.71515151515151
Gambia,153,0,2,1,66.25806451612904,66.29833333333333,66.07848101265823,65.60645161290323
Sierra Leone,84,0,2,1,,63.2,67.70882352941176,62.71515151515151
USA,27,0,7,1,81.07829181494662,75.00427046263346,76.0338078291815,77.09928825622777
Tanzania,101,0,1,1,,,,
Bangladesh,122,0,3,1,,,,
Kenya,72,0,2,1,63.4264705882353,,61.7,68.86875
Argentina,9,0,2,1,80.69396551724138,82.98189655172415,88.26034482758621,84.42801724137932
Mexico,17,0,0,-1,79.18849840255591,76.98466453674123,79.17284345047923,77.7884984025559
USA,27,0,0,-1,81.07829181494662,75.00427046263346,76.0338078291815,77.09928825622777
Mali,75,0,0,-1,65.48226950354609,72.70760233918129,74.66374269005848,75.94619883040936
Mexico,17,0,0,0,79.18849840255591,76.98466453674123,79.17284345047923,77.7884984025559
Ghana,37,0,0,0,68.21134020618557,73.4908256880734,74.53807339449541,78.92660550458716
Ghana,37,0,1,0,68.21134020618557,73.4908256880734,74.53807339449541,78.92660550458716
Barbados,114,0,0,0,48.0,,61.00689655172413,
Ghana,37,0,2,1,68.21134020618557,73.4908256880734,74.53807339449541,78.92660550458716
Mali,70,0,1,0,65.48226950354609,72.70760233918129,74.66374269005848,75.94619883040936
Mauritania,144,0,1,-1,,63.68260869565216,,
Thailand,69,0,1,0,66.38461538461539,,,
USA,22,0,2,1,81.07829181494662,75.00427046263346,76.0338078291815,77.09928825622777
Guinea,63,0,3,1,60.42528735632184,68.6461038961039,72.13192771084339,71.85597484276728
Costa Rica,42,0,0,0,78.62439024390244,69.99879032258065,71.24524714828897,70.52016129032258
Mexico,16,0,1,0,79.18849840255591,76.98466453674123,79.17284345047923,77.7884984025559
Spain,5,0,2,0,88.78481012658227,85.50928270042195,85.8746835443038,87.1278481012658
Tunisia,32,0,2,0,64.3781512605042,72.22488479262672,71.39493087557602,72.77281105990784
USA,22,0,1,0,81.07829181494662,75.00427046263346,76.0338078291815,77.09928825622777
Barbados,114,0,0,-1,48.0,,61.00689655172413,
Mali,70,0,1,1,65.48226950354609,72.70760233918129,74.66374269005848,75.94619883040936
Saudi Arabia,38,0,1,1,70.91803278688525,71.3360655737705,70.51967213114754,73.08524590163934
Suriname,117,0,2,1,68.83333333333333,69.33333333333333,66.8625,
Grenada,143,0,1,1,,,,
Qatar,54,0,1,1,,,,
Mexico,16,0,1,-1,79.18849840255591,76.98466453674123,79.17284345047923,77.7884984025559
Saudi Arabia,38,0,1,0,70.91803278688525,71.3360655737705,70.51967213114754,73.08524590163934
Barbados,114,0,3,1,48.0,,61.00689655172413,
Qatar,54,0,0,0,,,,
Venezuela,93,0,1,-1,67.53333333333333,71.41796875,74.44065934065935,73.21342281879194
Burkina Faso,127,0,1,1,70.62222222222222,66.56608695652174,69.45705521472392,70.65597014925375
C̫te d'Ivoire,33,0,5,1,69.61333333333333,77.45244444444445,81.54177777777778,78.60933333333332
USA,22,0,1,0,81.07829181494662,75.00427046263346,76.0338078291815,77.09928825622777
Burkina Faso,127,0,0,-1,70.62222222222222,66.56608695652174,69.45705521472392,70.65597014925375
Guinea,63,0,1,-1,60.42528735632184,68.6461038961039,72.13192771084339,71.85597484276728
Oman,97,0,0,-1,72.96347031963471,,62.70000000000001,
Senegal,56,0,0,0,72.35828877005348,77.5144385026738,79.81818181818181,76.35026737967914
Oman,97,0,1,0,72.96347031963471,,62.70000000000001,
Egypt,26,0,1,0,70.4225352112676,70.40754716981132,73.82373737373737,72.78489208633096
Mexico,16,0,1,-1,79.18849840255591,76.98466453674123,79.17284345047923,77.7884984025559
United Arab Emirates,51,0,0,-1,70.53125,64.51875,64.3,67.26875000000001
Egypt,26,0,1,1,70.4225352112676,70.40754716981132,73.82373737373737,72.78489208633096
Oman,97,0,1,1,72.96347031963471,,62.70000000000001,
United Arab Emirates,51,0,1,0,70.53125,64.51875,64.3,67.26875000000001
Morocco,30,0,2,1,72.08673469387755,75.72857142857143,77.05612244897958,76.47193877551021
Oman,97,0,2,1,72.96347031963471,,62.70000000000001,
Saudi Arabia,38,0,1,0,70.91803278688525,71.3360655737705,70.51967213114754,73.08524590163934
United Arab Emirates,51,0,0,-1,70.53125,64.51875,64.3,67.26875000000001
Gambia,125,0,0,0,66.25806451612904,66.29833333333333,66.07848101265823,65.60645161290323
Malta,83,0,1,0,64.0,,60.3,
Spain,5,0,1,0,88.78481012658227,85.50928270042195,85.8746835443038,87.1278481012658
Slovenia,134,0,2,0,81.31927710843374,72.36746987951807,74.62469879518072,74.54698795180722
Malawi,67,0,0,-1,,,,
Malta,83,0,0,-1,64.0,,60.3,
Malawi,67,0,0,-1,,,,
Romania,13,0,2,1,75.96756756756757,75.95729729729729,75.50162162162162,74.86054054054054
Italy,7,0,0,-1,88.22608695652174,85.02999999999999,85.26304347826088,84.19304347826088
Korea Republic,42,0,1,-1,73.84824902723736,72.6466926070039,75.08949416342413,75.06031128404669
Malta,83,0,1,1,64.0,,60.3,
Colombia,20,0,0,0,78.23671497584542,78.81932367149757,80.5304347826087,77.88164251207729
USA,21,0,1,0,81.07829181494662,75.00427046263346,76.0338078291815,77.09928825622777
Bolivia,55,0,0,-1,66.93,67.37333333333333,68.734126984127,68.21000000000002
USA,21,0,1,-1,81.07829181494662,75.00427046263346,76.0338078291815,77.09928825622777
Mali,61,0,0,0,65.48226950354609,72.70760233918129,74.66374269005848,75.94619883040936
Morocco,28,0,0,0,72.08673469387755,75.72857142857143,77.05612244897958,76.47193877551021
Mexico,17,0,2,1,79.18849840255591,76.98466453674123,79.17284345047923,77.7884984025559
Colombia,20,0,2,0,78.23671497584542,78.81932367149757,80.5304347826087,77.88164251207729
Zimbabwe,46,0,2,0,,62.55555555555556,69.16732026143791,63.99236111111111
Gabon,62,0,0,0,67.17,67.74750000000002,71.58157894736841,73.10985915492958
Mexico,17,0,0,0,79.18849840255591,76.98466453674123,79.17284345047923,77.7884984025559
USA,21,0,1,1,81.07829181494662,75.00427046263346,76.0338078291815,77.09928825622777
Cayman Islands,153,0,3,1,,,,
Cyprus,75,0,2,1,64.0,66.69722222222224,69.3857142857143,62.92121212121211
England,12,0,1,1,83.24074074074075,84.69305555555556,85.11898148148147,84.51111111111112
Hungary,49,0,1,-1,76.21311475409836,70.81420765027322,72.82568306010928,73.43551912568306
Nigeria,15,0,0,0,76.21761658031087,74.15806451612903,77.92442396313363,76.8152073732719
Wales,27,0,1,-1,73.81656804733728,74.66568047337279,74.3414201183432,78.3526627218935
Dominican Republic,152,0,0,-1,,,,
USA,21,0,1,0,81.07829181494662,75.00427046263346,76.0338078291815,77.09928825622777
Zambia,30,0,2,1,,,67.96451612903226,61.22702702702703
Israel,54,0,1,1,71.11811023622047,66.27272727272727,73.78264462809916,72.91666666666667
Egypt,25,0,0,0,70.4225352112676,70.40754716981132,73.82373737373737,72.78489208633096
Tunisia,32,0,4,1,64.3781512605042,72.22488479262672,71.39493087557602,72.77281105990784
Angola,124,0,2,1,63.74038461538461,64.78521739130436,71.87393617021276,66.81475409836065
France,15,0,3,1,86.86808510638298,84.08127659574467,85.7,86.15872340425533
Austria,35,0,1,0,75.57303370786516,76.67640449438203,75.07078651685393,76.9258426966292
Brazil,2,0,2,1,86.26122448979592,85.92040816326531,86.53102040816326,85.34367346938775
Germany,1,0,2,1,89.05371900826447,84.6888429752066,83.60206611570247,85.79669421487601
Greece,34,0,0,0,79.5979381443299,78.5922680412371,76.6721649484536,77.3283505154639
Republic of Ireland,13,0,0,0,79.02127659574468,76.68351063829788,75.6590425531915,77.32606382978723
Luxembourg,116,0,1,-1,66.95,67.61147540983606,,67.35625
Northern Ireland,42,0,2,1,72.47239263803681,73.23006134969326,68.95828220858895,72.8355828220859
Scotland,30,0,0,-1,76.67088607594937,75.62974683544304,75.77215189873418,77.34240506329114
Spain,6,0,0,-1,88.78481012658227,85.50928270042195,85.8746835443038,87.1278481012658
Nigeria,18,0,3,1,76.21761658031087,74.15806451612903,77.92442396313363,76.8152073732719
Saudi Arabia,36,0,0,-1,70.91803278688525,71.3360655737705,70.51967213114754,73.08524590163934
Tunisia,32,0,0,-1,64.3781512605042,72.22488479262672,71.39493087557602,72.77281105990784
USA,21,0,2,0,81.07829181494662,75.00427046263346,76.0338078291815,77.09928825622777
Ghana,31,0,1,1,68.21134020618557,73.4908256880734,74.53807339449541,78.92660550458716
C̫te d'Ivoire,28,0,4,1,69.61333333333333,77.45244444444445,81.54177777777778,78.60933333333332
Egypt,25,0,4,1,70.4225352112676,70.40754716981132,73.82373737373737,72.78489208633096
Senegal,58,0,2,1,72.35828877005348,77.5144385026738,79.81818181818181,76.35026737967914
Zambia,22,0,0,0,,,67.96451612903226,61.22702702702703
Malta,78,0,1,-1,64.0,,60.3,
Nigeria,18,0,0,0,76.21761658031087,74.15806451612903,77.92442396313363,76.8152073732719
Ghana,31,0,1,1,68.21134020618557,73.4908256880734,74.53807339449541,78.92660550458716
Zambia,22,0,1,1,,,67.96451612903226,61.22702702702703
Egypt,25,0,0,-1,70.4225352112676,70.40754716981132,73.82373737373737,72.78489208633096
Ghana,31,0,1,-1,68.21134020618557,73.4908256880734,74.53807339449541,78.92660550458716
Zambia,22,0,1,1,,,67.96451612903226,61.22702702702703
Hungary,52,0,0,-1,76.21311475409836,70.81420765027322,72.82568306010928,73.43551912568306
Nigeria,18,0,2,1,76.21761658031087,74.15806451612903,77.92442396313363,76.8152073732719
Zambia,22,0,4,1,,,67.96451612903226,61.22702702702703
Cayman Islands,140,0,2,-1,,,,
Colombia,20,0,0,-1,78.23671497584542,78.81932367149757,80.5304347826087,77.88164251207729
Suriname,109,0,2,1,68.83333333333333,69.33333333333333,66.8625,
C̫te d'Ivoire,28,0,3,1,69.61333333333333,77.45244444444445,81.54177777777778,78.60933333333332
Nigeria,18,0,2,1,76.21761658031087,74.15806451612903,77.92442396313363,76.8152073732719
Suriname,109,0,1,0,68.83333333333333,69.33333333333333,66.8625,
Poland,24,0,1,1,82.10502283105023,75.83470319634704,79.27488584474885,76.73013698630137
Trinidad and Tobago,93,0,3,1,65.38993710691824,65.070796460177,70.61742424242425,66.92465753424658
Oman,83,0,1,0,72.96347031963471,,62.70000000000001,
Colombia,20,0,1,1,78.23671497584542,78.81932367149757,80.5304347826087,77.88164251207729
Tunisia,32,0,2,1,64.3781512605042,72.22488479262672,71.39493087557602,72.77281105990784
Argentina,10,0,3,1,80.69396551724138,82.98189655172415,88.26034482758621,84.42801724137932
Austria,36,0,1,-1,75.57303370786516,76.67640449438203,75.07078651685393,76.9258426966292
Denmark,6,0,3,1,79.66494845360825,78.64845360824742,77.47835051546392,78.99742268041237
Iceland,43,0,0,-1,67.19565217391305,70.6538860103627,73.79740932642488,72.53367875647669
Lithuania,87,0,1,0,71.92561983471074,64.60851063829789,65.84603174603174,62.96170212765957
Netherlands,8,0,0,-1,83.23287671232876,80.73470319634704,85.47853881278539,83.70913242009134
Northern Ireland,35,0,4,1,72.47239263803681,73.23006134969326,68.95828220858895,72.8355828220859
Norway,3,0,0,0,75.29032258064517,76.02956989247312,76.98387096774194,76.43602150537633
Romania,11,0,3,1,75.96756756756757,75.95729729729729,75.50162162162162,74.86054054054054
Slovakia,54,0,4,1,73.24736842105263,74.98526315789474,72.04052631578948,75.65421052631578
Switzerland,4,0,3,1,80.17948717948718,78.14717948717949,76.52717948717948,78.71846153846155
Turkey,57,0,0,-1,79.36893203883496,76.83592233009709,77.7864077669903,79.56747572815534
Wales,32,0,0,-1,73.81656804733728,74.66568047337279,74.3414201183432,78.3526627218935
Eswatini,100,0,0,-1,,,,
South Africa,92,0,1,1,74.22540983606558,71.56557377049181,73.5061475409836,73.47418032786884
USA,23,0,1,-1,81.07829181494662,75.00427046263346,76.0338078291815,77.09928825622777
Greece,37,0,5,1,79.5979381443299,78.5922680412371,76.6721649484536,77.3283505154639
Slovenia,117,0,3,1,81.31927710843374,72.36746987951807,74.62469879518072,74.54698795180722
United Arab Emirates,56,0,0,-1,70.53125,64.51875,64.3,67.26875000000001
Kuwait,62,0,2,0,65.0,,,
USA,23,0,0,-1,81.07829181494662,75.00427046263346,76.0338078291815,77.09928825622777
Korea Republic,40,0,2,0,73.84824902723736,72.6466926070039,75.08949416342413,75.06031128404669
Colombia,20,0,1,1,78.23671497584542,78.81932367149757,80.5304347826087,77.88164251207729
El Salvador,73,0,3,1,61.0,,,64.5
Korea Republic,40,0,2,1,73.84824902723736,72.6466926070039,75.08949416342413,75.06031128404669
Bolivia,47,0,1,1,66.93,67.37333333333333,68.734126984127,68.21000000000002
Brazil,1,0,3,1,86.26122448979592,85.92040816326531,86.53102040816326,85.34367346938775
Poland,28,0,3,1,82.10502283105023,75.83470319634704,79.27488584474885,76.73013698630137
Colombia,20,0,3,1,78.23671497584542,78.81932367149757,80.5304347826087,77.88164251207729
Honduras,51,0,2,1,61.0,70.97786259541985,70.20113636363637,70.27410714285715
Sweden,9,0,3,1,76.50431034482759,77.11206896551724,81.57327586206897,77.84181034482756
USA,23,0,4,1,81.07829181494662,75.00427046263346,76.0338078291815,77.09928825622777
Greece,37,0,0,-1,79.5979381443299,78.5922680412371,76.6721649484536,77.3283505154639
Bolivia,47,0,1,0,66.93,67.37333333333333,68.734126984127,68.21000000000002
Greece,37,0,0,0,79.5979381443299,78.5922680412371,76.6721649484536,77.3283505154639
Nigeria,5,0,2,1,76.21761658031087,74.15806451612903,77.92442396313363,76.8152073732719
England,15,0,5,1,83.24074074074075,84.69305555555556,85.11898148148147,84.51111111111112
Poland,27,0,3,-1,82.10502283105023,75.83470319634704,79.27488584474885,76.73013698630137
Chile,40,0,3,0,77.87443946188341,74.42117117117115,78.69008620689655,79.35043103448274
Hungary,49,0,2,0,76.21311475409836,70.81420765027322,72.82568306010928,73.43551912568306
Iceland,39,0,1,1,67.19565217391305,70.6538860103627,73.79740932642488,72.53367875647669
England,15,0,0,0,83.24074074074075,84.69305555555556,85.11898148148147,84.51111111111112
Japan,54,0,1,0,70.38150289017341,72.69239130434782,72.84112903225807,76.91156716417912
Estonia,113,0,1,-1,67.92682926829268,66.13894736842106,61.963793103448275,63.55384615384614
